study_accession	parent_study_accession	tax_id
PRJNA718355		1861841
PRJNA852682		
PRJNA853070		
PRJNA940075		
PRJDB10649		408170
PRJDB7277		408170
PRJDB8057		410661
PRJDB8070		410661
PRJDB9487		410661
PRJDB9743		410661
PRJEB18755		
PRJEB18769		
PRJEB31706		
PRJEB32682		
PRJEB50343		
PRJEB50446		
PRJEB50447		
PRJEB51786		
PRJEB52630		
PRJEB52843		
PRJEB53328		
PRJEB53481		
PRJEB54770		
PRJEB55325		
PRJEB58777		
PRJEB59009		
PRJEB62406		
PRJNA18203	PRJNA18219;PRJNA28331	411485
PRJNA248146		408170
PRJNA284919		408170
PRJNA299488		1510822
PRJNA356100		408170
PRJNA474117		410661
PRJNA489117		410661
PRJNA526732		
PRJNA579967		
PRJNA580014		2592666
PRJNA611564		408170
PRJNA622268		
PRJNA735579		
PRJNA761134		1436733
PRJNA766067		
PRJNA766530		
PRJNA767532		
PRJNA800626	PRJNA9559	10090
PRJNA870756		
PRJNA881239		
PRJNA886492		
PRJNA900443		2809082
PRJNA911735		1510822
PRJNA934868	PRJNA935320;PRJNA9559	10090
PRJNA993863		410661
PRJEB19968		
PRJEB42351		
PRJEB42825		
PRJEB55040		
PRJEB56193		
PRJEB58722		
PRJNA564200		
PRJNA574295		1510822
PRJNA751376		2705415
PRJNA773606		
PRJNA850627		
PRJNA870718		
PRJDB7115		410661
PRJEB1391		
PRJEB17678		
PRJEB30017		
PRJEB31439		
PRJEB41530		
PRJEB4245		
PRJEB4278		
PRJEB42968		
PRJEB46230		
PRJEB50825		
PRJEB51242		
PRJEB55534		
PRJEB61656		
PRJEB63378		
PRJEB64491		
PRJNA18211	PRJNA160767;PRJNA28331	411489
PRJNA28655	PRJNA28331;PRJNA30499	500634
PRJNA294047		408170
PRJNA299207		410661
PRJNA320730		410661
PRJNA321331		408170
PRJNA431279		410661
PRJNA514964		1510822
PRJNA593989		
PRJNA633160		
PRJNA749660		
PRJNA888345		
PRJNA936990		1602388
PRJNA944839		1235509
PRJEB26422		
PRJEB33426		
PRJEB48896		
PRJEB49258		
PRJEB9276		
PRJNA1000620	PRJNA1000617	2705415
PRJNA1003965		
PRJNA255107	PRJNA9559	10090
PRJNA304030	PRJNA9558	408170
PRJNA309756		408170
PRJNA422502		433724
PRJNA449431		410661
PRJNA831093		
PRJNA856667	PRJNA10718	9823
PRJNA856830		
PRJEB23227		
PRJEB33711		
PRJEB34489		
PRJEB35239		
PRJEB35526		
PRJEB48639		
PRJEB48695		
PRJEB49188		
PRJEB49938		
PRJEB8841		
PRJNA309899		408170
PRJNA684902	PRJNA9559	10090
PRJNA726636	PRJNA388515	749906
PRJNA791422		410661
PRJNA831017		
PRJNA843346		749906
PRJNA844211		
PRJNA859433		410661
PRJNA973939		
PRJNA976489		410661
PRJEB12085		
PRJEB26653		
PRJEB38210		
PRJNA1000619	PRJNA1000617	2705415
PRJNA306391		506599
PRJNA607602		
PRJEB49022		
PRJEB8249		
PRJNA438453		408170
PRJNA540406		408170
PRJNA542489		410661
PRJNA729473		
PRJEB11414		
PRJEB25221		
PRJEB39137		
PRJNA361503		1861841
PRJNA493301		
PRJNA822640	PRJNA9559	10090
PRJNA849519		
PRJNA967194		
PRJEB14888		
PRJEB15672		
PRJEB25560		
PRJNA821694		
PRJNA785384		
PRJEB25008		
PRJEB28715		
PRJEB29068		
PRJEB39336		
PRJNA33303		408170
PRJNA360111	PRJNA360113	410661
PRJNA379764		749906
PRJNA531799		
PRJNA954827		408170
PRJEB12449		
PRJEB15388		
PRJEB25514		
PRJEB26585		
PRJEB31150		
PRJEB36332		
PRJEB38231		
PRJEB43555	PRJEB40770	
PRJEB48530		
PRJEB5969		
PRJNA308315		
PRJNA434045		
PRJNA630547		408170
PRJNA779486		
PRJNA813424		
PRJNA836862		
PRJEB14628		
PRJEB22233		
PRJEB29065		
PRJEB29079		
PRJEB29397		
PRJEB30788		
PRJEB31759		
PRJEB32644		
PRJEB48889		
PRJNA294605		408170
PRJNA491522		
PRJNA699281		646099
PRJDB10610		408170
PRJEB23230		
PRJEB23489		
PRJEB23524		
PRJEB25500		
PRJEB26476		
PRJEB27835		
PRJEB28097		
PRJEB29127		
PRJEB29433		
PRJEB31652		
PRJEB32411		
PRJEB33641		
PRJEB36435		
PRJEB38069		
PRJEB38148		
PRJEB43096		
PRJEB45380		
PRJEB57171		
PRJEB57947		
PRJNA340060		
PRJNA350534		410661
PRJNA356102		408170
PRJNA428477		
PRJNA448009		410661
PRJNA493800		
PRJNA522345		1510822
PRJNA534155		1861841
PRJNA639131		1861841
PRJNA647405		
PRJNA718160		1861841
PRJNA721286		
PRJNA853287	PRJNA860534	2083302
PRJNA887826		
PRJNA894240		
PRJEB13249		
PRJEB26607		
PRJEB28712		
PRJEB39605		
PRJEB41869		
PRJEB43097		
PRJNA215106		408170
PRJNA438024		410661
PRJNA544155		646099
PRJNA596825		1510822
PRJNA868175		
