study_accession	parent_study_accession	tax_id
PRJNA985224		1588881
PRJDB10309		1441287
PRJDB10460		1202446
PRJDB10526		408170
PRJDB10527		408170
PRJDB10528		408170
PRJDB10529		408170
PRJDB10530		408170
PRJDB10562		408170
PRJDB10599		408170
PRJDB10821		408170
PRJDB10871		408170
PRJDB11126		408170
PRJDB11137		410661
PRJDB11190		1202446
PRJDB11444		408170
PRJDB11551		410661
PRJDB11611		410661
PRJDB11894		408170
PRJDB12136		749906
PRJDB12839		408170
PRJDB13187		408170
PRJDB13556		408170
PRJDB1380		749906
PRJDB14091		410661
PRJDB14191		410661
PRJDB14457		408170
PRJDB1495		749906
PRJDB15377		410661
PRJDB16091		410661
PRJDB1794		408170
PRJDB1933		408170
PRJDB1979		408170
PRJDB2021		408170
PRJDB2188		410661
PRJDB2343		408170
PRJDB2401		408170
PRJDB2507		408170
PRJDB2570		408170
PRJDB2572		408170
PRJDB2617		408170
PRJDB2793		408170
PRJDB2841		408170
PRJDB3256		496924
PRJDB3293		1510822
PRJDB3418		408170
PRJDB3490		410661
PRJDB3917		1436733
PRJDB4065		410661
PRJDB4083		1602388
PRJDB4167		410661
PRJDB4228		408170
PRJDB4231		408170
PRJDB4854		1436733
PRJDB4883		1602388
PRJDB5238		1202446
PRJDB5278		749906
PRJDB5322		408170
PRJDB5420		749906
PRJDB5501		410661
PRJDB5642		410661
PRJDB6371		408170
PRJDB6439		410661
PRJDB6492		410661
PRJDB6601		410661
PRJDB6685		410661
PRJDB6706		1588881
PRJDB6856		410661
PRJDB6865		410661
PRJDB6904		408170
PRJDB6919		410661
PRJDB6933		749906
PRJDB6992		410661
PRJDB7070		408170
PRJDB7599		410661
PRJDB7617		408170
PRJDB7758		410661
PRJDB7862		1775950
PRJDB7902		410661
PRJDB7941		410661
PRJDB8040		410661
PRJDB8454		408170
PRJDB8631		1602388
PRJDB8640		410661
PRJDB8879		408170
PRJDB8898		410661
PRJDB8923		410661
PRJDB9000		410661
PRJDB9001		410661
PRJDB9026		410661
PRJDB9133		749906
PRJDB9235		1861841
PRJDB9293		408170
PRJDB9356		1436733
PRJDB9379		408170
PRJDB9383		410661
PRJDB9544		749906
PRJDB9558		749906
PRJDB9805		408170
PRJEB17777		
PRJEB18273		
PRJEB18770		
PRJEB18780		
PRJEB19		408170
PRJEB19086		
PRJEB19398		
PRJEB19407		
PRJEB19494		
PRJEB19511		
PRJEB19531		
PRJEB19642		
PRJEB19680		
PRJEB30673		
PRJEB30769		
PRJEB30884		
PRJEB30984		
PRJEB32017		
PRJEB32627		
PRJEB32772		
PRJEB32836		
PRJEB40229		
PRJEB40266		
PRJEB41221		
PRJEB41434		
PRJEB41539		
PRJEB41709		
PRJEB41724		
PRJEB41781		
PRJEB42420		
PRJEB42805		
PRJEB44221		
PRJEB44225		
PRJEB44233		
PRJEB44275		
PRJEB44395		
PRJEB44685		
PRJEB44907		
PRJEB46677		
PRJEB46816		
PRJEB4707		
PRJEB50071		
PRJEB50255		
PRJEB50264		
PRJEB50376		
PRJEB50377		
PRJEB50378		
PRJEB50408		
PRJEB50449		
PRJEB50472		
PRJEB50482		
PRJEB50493		
PRJEB51119		
PRJEB51483		
PRJEB51707		
PRJEB51712		
PRJEB51775		
PRJEB5192		
PRJEB52060		
PRJEB52595		
PRJEB53048		
PRJEB53212		
PRJEB53339		
PRJEB54795		
PRJEB55321		
PRJEB55867		
PRJEB55996		
PRJEB56373		
PRJEB56390		
PRJEB56412		
PRJEB56476		
PRJEB57246		
PRJEB57354		
PRJEB57592		
PRJEB57654		
PRJEB58101		
PRJEB58626		
PRJEB58815		
PRJEB58864		
PRJEB60023		
PRJEB60278		
PRJEB60446		
PRJEB60573		
PRJEB61305		
PRJEB61546		
PRJEB61857		
PRJEB61860		
PRJEB61935		
PRJEB61962		
PRJEB62131		
PRJEB62187		
PRJEB62578		
PRJEB62828		
PRJEB63608		
PRJEB64521		
PRJEB64664		
PRJEB64887		
PRJEB85416		
PRJNA161613	PRJNA167400	749906
PRJNA167110		408170
PRJNA167398		749906
PRJNA169135	PRJNA9559	10090
PRJNA171256		749906
PRJNA172644		408170
PRJNA173898		749906
PRJNA175242		410661
PRJNA175669		1202446
PRJNA176587		749906
PRJNA178313		410661
PRJNA178693		408170
PRJNA183729		408170
PRJNA184687		749906
PRJNA185211		1202446
PRJNA185748		408170
PRJNA185771		408170
PRJNA186501	PRJNA43379	749906
PRJNA187335		408170
PRJNA187337		408170
PRJNA187338		408170
PRJNA187340		408170
PRJNA187345		408170
PRJNA187353		408170
PRJNA187354		408170
PRJNA195549		410661
PRJNA200961	PRJNA10621	10116
PRJNA201339	PRJNA203370	408170
PRJNA202975		408170
PRJNA205294		1202446
PRJNA206071		408170
PRJNA206440		408170
PRJNA210239		749906
PRJNA213803		408170
PRJNA214244		410661
PRJNA215273		408170
PRJNA221789		408170
PRJNA226713		749906
PRJNA235301		410661
PRJNA239219		410661
PRJNA270285		408170
PRJNA270936		408170
PRJNA282425		1436733
PRJNA282780		410661
PRJNA283668		1202446
PRJNA283782		410661
PRJNA285058		408170
PRJNA287742		408170
PRJNA28789	PRJNA28755	410661
PRJNA287925		749906
PRJNA288471		1436733
PRJNA290431		408170
PRJNA293117		749906
PRJNA293119		410661
PRJNA293248		1602388
PRJNA293501		410661
PRJNA293504		410661
PRJNA294129		410661
PRJNA294930	PRJNA10718	1510822
PRJNA296447		410661
PRJNA296669		749906
PRJNA297199		506600
PRJNA297247		1202446
PRJNA297349		749906
PRJNA297373		749906
PRJNA297778	PRJNA9558	408170
PRJNA297793		408170
PRJNA298497		749906
PRJNA298499		749906
PRJNA298931		1510822
PRJNA299246		1202446
PRJNA299453		1602388
PRJNA299826		433724
PRJNA302354		408170
PRJNA310038		408170
PRJNA311230		506600
PRJNA312550		1510822
PRJNA313944		1602388
PRJNA314291		749906
PRJNA316118		408170
PRJNA320660		408170
PRJNA320922	PRJNA9559	410661
PRJNA320937		1510822
PRJNA321011		408170
PRJNA321107		749906
PRJNA321121		749906
PRJNA321267	PRJNA9559	10090
PRJNA321634		410661
PRJNA321776		408170
PRJNA323360		408170
PRJNA324452		408170
PRJNA326309		1510822
PRJNA327037		506600
PRJNA336436		749906
PRJNA336472		1602388
PRJNA336479		1602388
PRJNA336553		
PRJNA336643		1202446
PRJNA336656		1202446
PRJNA336662		1202446
PRJNA336666		1202446
PRJNA336667		1202446
PRJNA336696		1202446
PRJNA336712		1202446
PRJNA336713		1202446
PRJNA336751		749906
PRJNA336847		749906
PRJNA336853		1202446
PRJNA337863		749906
PRJNA337864		749906
PRJNA337865		749906
PRJNA337866		749906
PRJNA337867		749906
PRJNA337868		749906
PRJNA337986		1775950
PRJNA338068		749906
PRJNA338221		408170
PRJNA338338		410661
PRJNA339682		749906
PRJNA340216		408170
PRJNA340485		749906
PRJNA340486		749906
PRJNA340487		749906
PRJNA341282		
PRJNA342176		410661
PRJNA343351		408170
PRJNA344390		1602388
PRJNA345373		
PRJNA345381	PRJNA9555	7460
PRJNA345390		
PRJNA347340		
PRJNA348804		506600
PRJNA349091		408170
PRJNA351931		1436733
PRJNA352094		1602388
PRJNA352596		506599
PRJNA352895		1510822
PRJNA353560		408170
PRJNA353744		506600
PRJNA354611		
PRJNA355065		1861841
PRJNA355985		
PRJNA356482		
PRJNA356629		408170
PRJNA356736		1904483
PRJNA356994		1510822
PRJNA368626		1602388
PRJNA368739		
PRJNA368963		
PRJNA369433		
PRJNA393662		749906
PRJNA394891		410661
PRJNA406895		506600
PRJNA407604		1510822
PRJNA407837		410661
PRJNA407867		410661
PRJNA408032		410661
PRJNA408033		410661
PRJNA430317		1510822
PRJNA431110		506600
PRJNA431132		1202446
PRJNA432958		
PRJNA433543		749906
PRJNA433811		
PRJNA445549		1202446
PRJNA448961		506600
PRJNA450594		408170
PRJNA450709		
PRJNA450759		410661
PRJNA451124		1202446
PRJNA451167		
PRJNA451377		1118232
PRJNA453619		408170
PRJNA454495		
PRJNA454759		1510822
PRJNA454778		749906
PRJNA464203		749906
PRJNA470685		
PRJNA470777		410661
PRJNA470996		1588881
PRJNA471638		410661
PRJNA471730		408170
PRJNA471809		410661
PRJNA471937		1510822
PRJNA472661		410661
PRJNA473864		
PRJNA474024		408170
PRJNA474684		1202446
PRJNA475422		1510822
PRJNA475589		
PRJNA475948		433724
PRJNA476157		749906
PRJNA476227		749906
PRJNA476421		
PRJNA477306		
PRJNA479935		1510822
PRJNA483523		408170
PRJNA484013		1510822
PRJNA484174		410661
PRJNA484638		
PRJNA485188		408170
PRJNA485216		408170
PRJNA486229		
PRJNA486603		1510822
PRJNA488105		
PRJNA488680		408170
PRJNA488862		410661
PRJNA498533		410661
PRJNA498866		410661
PRJNA498867		410661
PRJNA503519		
PRJNA504021		749906
PRJNA506016		408170
PRJNA506356		410661
PRJNA507591		1202446
PRJNA507650		1588881
PRJNA507655		1588881
PRJNA508395		408170
PRJNA508548		
PRJNA508782	PRJNA9559	10090
PRJNA509974		410661
PRJNA511785		
PRJNA511914		410661
PRJNA512589		
PRJNA513005		410661
PRJNA513103		749906
PRJNA513489		
PRJNA513884		410661
PRJNA513971		
PRJNA51445		408170
PRJNA515272		408170
PRJNA515689		
PRJNA515799		1510822
PRJNA516251		749906
PRJNA516701		
PRJNA516956		1510822
PRJNA516979		1602388
PRJNA516980		749906
PRJNA517016		749906
PRJNA517562		
PRJNA517796		
PRJNA524452	PRJNA64791	33010
PRJNA524461		
PRJNA524547		
PRJNA524796		
PRJNA525428		
PRJNA525457		
PRJNA525684		
PRJNA527695		1202446
PRJNA527800		1510822
PRJNA528617		1510822
PRJNA529189		
PRJNA529488	PRJNA9559	10090
PRJNA551918		749906
PRJNA560119		410661
PRJNA560746		
PRJNA561068		410661
PRJNA561249		410661
PRJNA561250		410661
PRJNA561252		410661
PRJNA561335		
PRJNA561430		410661
PRJNA561883		410661
PRJNA562590		410661
PRJNA562598		410661
PRJNA565336		
PRJNA571413		749906
PRJNA573549		
PRJNA573617		410661
PRJNA573800		410661
PRJNA574244		410661
PRJNA574256		1861841
PRJNA574641		
PRJNA574785		410661
PRJNA574799		410661
PRJNA574851		
PRJNA574859		410661
PRJNA575206		410661
PRJNA577747		410661
PRJNA577760		408170
PRJNA579850		410661
PRJNA579961		1904483
PRJNA580284		
PRJNA582067		
PRJNA584639	PRJNA18709	1363
PRJNA585509		
PRJNA587584		408170
PRJNA587761		1510822
PRJNA588276		410661
PRJNA588313		408170
PRJNA589726		
PRJNA590611		433724
PRJNA591476		1510822
PRJNA592337		408170
PRJNA592436		
PRJNA592777		410661
PRJNA592843		
PRJNA593030		
PRJNA593352		410661
PRJNA593358		410661
PRJNA593627		410661
PRJNA593937		
PRJNA594543	PRJNA12319	562
PRJNA594800		1263854
PRJNA594916		
PRJNA595075		410661
PRJNA595458		
PRJNA595465		408170
PRJNA596549		410661
PRJNA596591		
PRJNA597161		410661
PRJNA597965		749906
PRJNA598044		1202446
PRJNA598236		
PRJNA598985		
PRJNA599400		
PRJNA600001		410661
PRJNA600476		
PRJNA601854		749906
PRJNA602839		
PRJNA604689		1510822
PRJNA610226		410661
PRJNA612128		1861841
PRJNA612321		646099
PRJNA612500		
PRJNA612824		
PRJNA612945		749906
PRJNA613105		
PRJNA613181		
PRJNA613340		1176744
PRJNA615360		410661
PRJNA623457		410661
PRJNA623593		
PRJNA624052		506600
PRJNA624330		
PRJNA624740		749906
PRJNA624763		408170
PRJNA624975		
PRJNA625116		410661
PRJNA625121		410661
PRJNA625127		410661
PRJNA625411		410661
PRJNA626591		
PRJNA627170		410661
PRJNA627202		410661
PRJNA627654		
PRJNA627813		1510822
PRJNA627943		
PRJNA627982		408170
PRJNA630394		
PRJNA631094		
PRJNA631356		
PRJNA631883		
PRJNA632349		1436733
PRJNA633233		
PRJNA633842		410661
PRJNA633863	PRJNA633901;PRJNA9526	5476
PRJNA633960		
PRJNA634023		1436733
PRJNA634207		
PRJNA635135		
PRJNA635571		
PRJNA635664		433724
PRJNA635993		1202446
PRJNA636130		
PRJNA636139		
PRJNA636171		
PRJNA636175		
PRJNA636933		408170
PRJNA638438		410661
PRJNA638922		
PRJNA638979		
PRJNA639165		
PRJNA639226		
PRJNA639412		1602388
PRJNA639769		
PRJNA641109		
PRJNA641482		749906
PRJNA644138		
PRJNA644948		506600
PRJNA645207		1861841
PRJNA645414		749906
PRJNA645449		506599
PRJNA645460		
PRJNA645510		410661
PRJNA645512		410661
PRJNA646010		
PRJNA646026		
PRJNA646095		410661
PRJNA646501		
PRJNA646617		
PRJNA646990		
PRJNA647474		506600
PRJNA647519		
PRJNA648014		408170
PRJNA648244		749906
PRJNA648483		410661
PRJNA649387		
PRJNA656138		
PRJNA656791		
PRJNA656793		749906
PRJNA657439		1510822
PRJNA657507		410661
PRJNA657676		410661
PRJNA657953		
PRJNA658450		410661
PRJNA658467		1602388
PRJNA658581		410661
PRJNA659137		1436733
PRJNA659157		410661
PRJNA659160		408170
PRJNA659913		408170
PRJNA669166		410661
PRJNA682734		410661
PRJNA690543		
PRJNA690991		410661
PRJNA691078		410661
PRJNA692215		
PRJNA692480		
PRJNA692677		1861841
PRJNA693579		
PRJNA693865		
PRJNA694373		408170
PRJNA695415		
PRJNA708166		
PRJNA708274		
PRJNA708279		
PRJNA722766		
PRJNA730350		749906
PRJNA730974		506600
PRJNA731529		
PRJNA732897		408170
PRJNA733601		1602388
PRJNA734379		408170
PRJNA735413		
PRJNA736598		1510822
PRJNA741666		
PRJNA741699		
PRJNA741701		
PRJNA742196		1202446
PRJNA743164		1510822
PRJNA743357		
PRJNA743541		
PRJNA744004		2809082
PRJNA744220	PRJNA189492	56216
PRJNA745267		
PRJNA745329		
PRJNA745524		
PRJNA745527		408170
PRJNA746783	PRJNA9559	10090
PRJNA747273		
PRJNA747306		
PRJNA74935		9606
PRJNA750084		
PRJNA750230		
PRJNA750475		
PRJNA750589		
PRJNA750628		
PRJNA750850		749906
PRJNA751465		
PRJNA751485		
PRJNA752344		749906
PRJNA753008		
PRJNA753018		
PRJNA754038		
PRJNA754240		410661
PRJNA754383		
PRJNA754849		
PRJNA755465		749906
PRJNA757000		
PRJNA757184		
PRJNA758197		506599
PRJNA758252		
PRJNA758372		410661
PRJNA758969	PRJNA10718	9823
PRJNA760288		1436733
PRJNA760509		
PRJNA760966		410661
PRJNA761699		1510822
PRJNA761865		410661
PRJNA761867		
PRJNA762251		
PRJNA762684		408170
PRJNA763328		
PRJNA765747		408170
PRJNA766334		1602388
PRJNA766867		408170
PRJNA767391		1510822
PRJNA767751		
PRJNA768863	PRJNA9559	410661
PRJNA769047		
PRJNA769821		1775950
PRJNA769968		
PRJNA772968		408170
PRJNA773867		
PRJNA773931		
PRJNA774280		408170
PRJNA775888		749906
PRJNA776112		1510822
PRJNA776732		
PRJNA777381		
PRJNA777650		
PRJNA778038		
PRJNA778458		410661
PRJNA778473		
PRJNA787424		410661
PRJNA788079		410661
PRJNA788333		
PRJNA788619		
PRJNA789138		
PRJNA789248	PRJNA9559	10090
PRJNA800086		
PRJNA800189		
PRJNA800190		
PRJNA801450		408170
PRJNA801483		
PRJNA801856		410661
PRJNA802048		
PRJNA802069		
PRJNA803219		410661
PRJNA804205		749906
PRJNA804353		
PRJNA804374		408170
PRJNA804422		
PRJNA805078		
PRJNA805268		
PRJNA805271		
PRJNA806208		410661
PRJNA806712		1436733
PRJNA806979		
PRJNA806994		410661
PRJNA807067		
PRJNA807586		
PRJNA808210		408170
PRJNA809137		410661
PRJNA809418		
PRJNA813704		
PRJNA813736		
PRJNA813944		408170
PRJNA814060		1436733
PRJNA816177		
PRJNA816624		
PRJNA816827		
PRJNA817386		
PRJNA817689		408170
PRJNA818859		
PRJNA818995		1602388
PRJNA819052		2705415
PRJNA826199		1436733
PRJNA826471		506600
PRJNA826614		410661
PRJNA826978		
PRJNA827600		410661
PRJNA828021		
PRJNA853784		
PRJNA854963		
PRJNA860001		408170
PRJNA860007		
PRJNA860052		
PRJNA860108	PRJNA9558	408170
PRJNA860523		
PRJNA860985		
PRJNA861728		410661
PRJNA861949		749906
PRJNA861965		1861841
PRJNA861974		
PRJNA862367		
PRJNA862563		
PRJNA862908		408170
PRJNA864570		749906
PRJNA865347		
PRJNA866157		
PRJNA867380		
PRJNA868695		
PRJNA868917		1602388
PRJNA871872		
PRJNA872311		410661
PRJNA873680		
PRJNA873882		
PRJNA875277		749906
PRJNA875278	PRJNA78041	79674
PRJNA875468		1436733
PRJNA877209		410661
PRJNA877383		410661
PRJNA877464		
PRJNA879257		
PRJNA880037		410661
PRJNA880360		410661
PRJNA880658		
PRJNA880728		
PRJNA881500		
PRJNA882252		
PRJNA882461		
PRJNA882996		
PRJNA883004		
PRJNA885240		
PRJNA885292		
PRJNA885489		408170
PRJNA885585		
PRJNA886734		410661
PRJNA887219		
PRJNA887237		410661
PRJNA887407		1602388
PRJNA887527		410661
PRJNA887537		410661
PRJNA889082		
PRJNA890008		
PRJNA890246		
PRJNA891477		
PRJNA891624		1202446
PRJNA892063		
PRJNA892575		
PRJNA892751		410661
PRJNA892785		410661
PRJNA895102		
PRJNA896154		410661
PRJNA897413		410661
PRJNA898680		410661
PRJNA898825		410661
PRJNA901369		749906
PRJNA901881		
PRJNA904508		410661
PRJNA905530		
PRJNA906715		1436733
PRJNA910088		410661
PRJNA911046		
PRJNA911205		
PRJNA911422		408170
PRJNA912087		749906
PRJNA912657		
PRJNA913654		749906
PRJNA913821		
PRJNA914483		749906
PRJNA914785		408170
PRJNA914843		
PRJNA915919		410661
PRJNA916636		
PRJNA917538	PRJNA9559	10090
PRJNA918795		
PRJNA922736		
PRJNA922899		
PRJNA923763		
PRJNA925078		
PRJNA925216		749906
PRJNA925295		
PRJNA928221		
PRJNA929666		
PRJNA930344		
PRJNA931729		749906
PRJNA932542		
PRJNA932582		749906
PRJNA932948	PRJNA306872	408170
PRJNA934396		
PRJNA934841		
PRJNA936089		
PRJNA936460		
PRJNA936589		
PRJNA937245		2951411
PRJNA939242		
PRJNA939423		
PRJNA945473		410661
PRJNA946027		1602388
PRJNA947268		410661
PRJNA948683		646099
PRJNA948843		
PRJNA949558		
PRJNA949581		
PRJNA971357		
PRJNA971738		749906
PRJNA972515		
PRJNA980199		410661
PRJNA980976		749906
PRJNA981990		749906
PRJNA982024		749906
PRJNA982717		
PRJNA991145		
PRJNA991635		
PRJNA991758		2943808
PRJNA992886		
PRJNA994039		
PRJNA994597		
PRJNA994901		
PRJNA995527		
PRJNA995885		
PRJNA996088		
PRJNA997055		
PRJNA997058		2714341
PRJDB11515		410661
PRJDB13214		408170
PRJDB14147		410661
PRJDB2888		410661
PRJDB5884	PRJNA21073	573
PRJDB5885	PRJNA61169	548
PRJDB5886	PRJNA21073	573
PRJEB1421		
PRJEB1595		
PRJEB2592		
PRJEB30114		
PRJEB30566		
PRJEB31542		
PRJEB3350		
PRJEB40697		
PRJEB42557		
PRJEB42967		
PRJEB43259		
PRJEB44118		
PRJEB44675		
PRJEB44895		
PRJEB45229		
PRJEB56084		
PRJEB56238		
PRJEB56494		
PRJEB56662		
PRJEB57055		
PRJEB57754		
PRJEB59225		
PRJEB59240		
PRJEB59322		
PRJEB63347		
PRJEB65313		
PRJNA183615	PRJNA9559	10090
PRJNA234046		410661
PRJNA260461	PRJNA213435	749906
PRJNA273574		749906
PRJNA274208		433724
PRJNA275771		749906
PRJNA276969		1602388
PRJNA286059		749906
PRJNA294937		408170
PRJNA312520		749906
PRJNA315932		410661
PRJNA328231		410661
PRJNA329161		749906
PRJNA351976		
PRJNA355070		1861841
PRJNA380118		408170
PRJNA390695		749906
PRJNA393917		1602388
PRJNA394849		408170
PRJNA433077		
PRJNA448876		408170
PRJNA459511		410661
PRJNA487656		
PRJNA487673		
PRJNA498200		
PRJNA498205		
PRJNA501811		408170
PRJNA508425		749906
PRJNA523850		1202446
PRJNA528794		1602388
PRJNA561025		410661
PRJNA562588		410661
PRJNA564945		408170
PRJNA575314		1510822
PRJNA576558		749906
PRJNA588622		1861841
PRJNA589247		
PRJNA595719		410661
PRJNA600080		408170
PRJNA601791		
PRJNA602132		
PRJNA615969		
PRJNA632722		410661
PRJNA632994		
PRJNA644063		1436733
PRJNA646734		408170
PRJNA648917		1711999
PRJNA669541		
PRJNA669544		410661
PRJNA683575		
PRJNA683598		
PRJNA692507	PRJNA302828	315492
PRJNA692508	PRJNA12975	6689
PRJNA693262		
PRJNA722290	PRJNA9559	10090
PRJNA735933		749906
PRJNA735967		408170
PRJNA746439		410661
PRJNA747837		410661
PRJNA761913	PRJEB40770	
PRJNA766137		
PRJNA769425		
PRJNA773595		
PRJNA789455		410661
PRJNA803670		
PRJNA808420		
PRJNA808806		408170
PRJNA812004		
PRJNA817429		
PRJNA818974		410661
PRJNA826552		408170
PRJNA826698		1436733
PRJNA853112		
PRJNA853735		646099
PRJNA865044		
PRJNA870685		408170
PRJNA893889		
PRJNA930037		
PRJNA933120		
PRJNA970717		
PRJNA970930		
PRJNA981704		
PRJNA984461		
PRJNA985058		
PRJNA985806		
PRJNA986275		410661
PRJNA986826		
PRJNA998901		
PRJNA999443		1202446
PRJDA60507		408170
PRJDB10138		1202446
PRJDB10210		1602388
PRJDB10216		1202446
PRJDB10261		1602388
PRJDB10373		506599
PRJDB11054		749906
PRJDB11223		408170
PRJDB12549		1861841
PRJDB14215		749906
PRJDB14746		410661
PRJDB1492		408170
PRJDB16092		410661
PRJDB1846		408170
PRJDB1920		408170
PRJDB2173		749906
PRJDB2351		408170
PRJDB2710		408170
PRJDB2717		408170
PRJDB2737		408170
PRJDB4959		408170
PRJDB4998		408170
PRJDB5564		408170
PRJDB5597		1602388
PRJDB5800		1735564
PRJDB6529		506599
PRJDB6604	PRJNA779143	1476750
PRJDB6827		1588881
PRJDB7128		408170
PRJDB8027		408170
PRJDB8266		749906
PRJDB8341		410661
PRJDB8487		408170
PRJDB9695		410661
PRJEB18005		
PRJEB19858		
PRJEB2158		
PRJEB30253		
PRJEB30288		
PRJEB31503		
PRJEB32163		
PRJEB3374		
PRJEB40113		
PRJEB40629		
PRJEB40866		
PRJEB41296		
PRJEB41407		
PRJEB41559		
PRJEB41617		
PRJEB42330		
PRJEB42828		
PRJEB44290		
PRJEB4515		
PRJEB46398		
PRJEB51166		
PRJEB51262		
PRJEB52294		
PRJEB52702		
PRJEB54046		
PRJEB54561		
PRJEB54570		
PRJEB54641		
PRJEB55461		
PRJEB57184		
PRJEB57807		
PRJEB58097		
PRJEB58157		
PRJEB58753		
PRJEB58865		
PRJEB60773		
PRJEB61064		
PRJEB61088		
PRJEB61425		
PRJEB61723		
PRJEB61779		
PRJEB61868		
PRJEB61944		
PRJEB62524		
PRJEB6336		
PRJEB64696		
PRJEB64777		
PRJEB65345		
PRJNA167106		408170
PRJNA168618		410661
PRJNA170344		408170
PRJNA174514	PRJNA46305	408170
PRJNA179028		408170
PRJNA181303		749906
PRJNA187339		408170
PRJNA187552		408170
PRJNA194427		410661
PRJNA194432		410661
PRJNA196118		408170
PRJNA196833		1202446
PRJNA220984		408170
PRJNA223341		410661
PRJNA275541		408170
PRJNA280086		749906
PRJNA281266		433724
PRJNA281507		410661
PRJNA284556		410661
PRJNA284583		1202446
PRJNA285686		410661
PRJNA287487		506600
PRJNA287496		1602388
PRJNA290548		1202446
PRJNA291010		1588881
PRJNA293255		410661
PRJNA293646		749906
PRJNA293759		506599
PRJNA294933		749906
PRJNA298388		749906
PRJNA298947		410661
PRJNA299293		749906
PRJNA300497		
PRJNA300589		749906
PRJNA301076		506600
PRJNA310965		1202446
PRJNA311208		408170
PRJNA312693		506600
PRJNA313484		410661
PRJNA314462		749906
PRJNA315028		1775950
PRJNA315196		1202446
PRJNA315436		1202446
PRJNA328892		749906
PRJNA331189		1202446
PRJNA336816		1202446
PRJNA336832		433724
PRJNA343032		433724
PRJNA344965		749906
PRJNA352645		1510822
PRJNA355049		749906
PRJNA355984		
PRJNA359727		410661
PRJNA369184		410661
PRJNA369736		410661
PRJNA393182		
PRJNA39665		410661
PRJNA408020		749906
PRJNA408179		
PRJNA431051		410661
PRJNA432873		
PRJNA433255		749906
PRJNA447916		408170
PRJNA450160		
PRJNA451062		1436733
PRJNA451154		749906
PRJNA473081		408170
PRJNA474102	PRJNA9559	10090
PRJNA474706		
PRJNA475040		410661
PRJNA476673		
PRJNA484095		749906
PRJNA487124		1202446
PRJNA487257		408170
PRJNA501778		408170
PRJNA505546		408170
PRJNA505577		
PRJNA505687		
PRJNA506540		410661
PRJNA506596		410661
PRJNA509648		
PRJNA512063		
PRJNA515139		1070528
PRJNA515425		
PRJNA516811		1510822
PRJNA517239		1602388
PRJNA517362		749906
PRJNA523564		1602388
PRJNA524988		410661
PRJNA525298		1602388
PRJNA525566		
PRJNA525963		749906
PRJNA526924		408170
PRJNA526950		749906
PRJNA527117		
PRJNA527157		408170
PRJNA527298		
PRJNA560079		
PRJNA560671		410661
PRJNA560674		410661
PRJNA560763		410661
PRJNA560797		410661
PRJNA560995		410661
PRJNA561238		410661
PRJNA562589		410661
PRJNA562594		410661
PRJNA562766		408170
PRJNA562820		410661
PRJNA564780		
PRJNA566087		749906
PRJNA574549		410661
PRJNA574574		
PRJNA574841		1861841
PRJNA575283		1510822
PRJNA575310		1510822
PRJNA575311		1510822
PRJNA576042		1510822
PRJNA576773		
PRJNA577708	PRJNA9559	10090
PRJNA578254		
PRJNA578630		1202446
PRJNA579058		410661
PRJNA579259		410661
PRJNA579317		
PRJNA580479		
PRJNA588425	PRJNA9559	10090
PRJNA588517		
PRJNA588575		410661
PRJNA592027		
PRJNA594160		
PRJNA595395		1202446
PRJNA595443		408170
PRJNA595469		
PRJNA595919	PRJNA10718	1510822
PRJNA596634		
PRJNA597494		749906
PRJNA601240		1436733
PRJNA601868		749906
PRJNA602046		
PRJNA603658		408170
PRJNA603829		410661
PRJNA604703		1510822
PRJNA604750		1510822
PRJNA610424		
PRJNA622417		
PRJNA622760		749906
PRJNA622999		
PRJNA628078		
PRJNA628533		
PRJNA629905		1861841
PRJNA630032		410661
PRJNA630498		
PRJNA633435		410661
PRJNA633958		
PRJNA634676		1588881
PRJNA635239		
PRJNA635965		1202446
PRJNA636747		410661
PRJNA637175		408170
PRJNA638615		
PRJNA638757		1861841
PRJNA645191		
PRJNA645622		
PRJNA646055		410661
PRJNA646355		
PRJNA646629		
PRJNA648867		
PRJNA649671		1861841
PRJNA658516		410661
PRJNA659058		
PRJNA669261		
PRJNA669972		408170
PRJNA682827		
PRJNA70279		433724
PRJNA720440		1510822
PRJNA720473		749906
PRJNA720712		
PRJNA721108	PRJNA844465	151781
PRJNA731532		
PRJNA731546		410661
PRJNA731642		
PRJNA742822		1904483
PRJNA743401		410661
PRJNA746139		410661
PRJNA746541		408170
PRJNA748877		
PRJNA749657		
PRJNA749942		410661
PRJNA750446		
PRJNA750579		410661
PRJNA752365		749906
PRJNA754019		
PRJNA756854		408170
PRJNA757467		410661
PRJNA758244		
PRJNA763709		
PRJNA764220		
PRJNA764500		410661
PRJNA764520		
PRJNA766158		410661
PRJNA767903		
PRJNA773176		
PRJNA773593		749906
PRJNA774037		408170
PRJNA774793		
PRJNA776734		
PRJNA787396		
PRJNA787658		410661
PRJNA788313		410661
PRJNA788494		
PRJNA79029		408170
PRJNA801003		
PRJNA801435		
PRJNA803208		408170
PRJNA803517		
PRJNA804316		1436733
PRJNA806362	PRJNA10621	1436733
PRJNA807538		410661
PRJNA807681		
PRJNA809388		1436733
PRJNA812716		1602388
PRJNA814420		1436733
PRJNA814879		
PRJNA815491		
PRJNA816551		408170
PRJNA817682		
PRJNA818436		
PRJNA826194		1436733
PRJNA827678		
PRJNA863651		
PRJNA865359		
PRJNA866687		
PRJNA867305		410661
